Potato Crisps|0
Stackers|3
Grain Waves|0
Cloud Popcorn|0
Moonpie|1
Cowtales|0
Wonka Bar|0
Crunchie|0
Cola|0
Dr. Salt|0
Mountain Melter|1
Heavy|1
U-Chews|1
Little League Chew|0
Chiclets|0
Triplemint|0
Potato Crisps|5
Stackers|0
Grain Waves|0
Cloud Popcorn|0
Moonpie|0
Cowtales|0
Wonka Bar|0
Crunchie|0
Cola|0
Dr. Salt|0
Mountain Melter|0
Heavy|0
U-Chews|0
Little League Chew|0
Chiclets|0
Triplemint|0
Potato Crisps|5
Stackers|5
Grain Waves|0
Cloud Popcorn|0
Moonpie|0
Cowtales|0
Wonka Bar|0
Crunchie|0
Cola|0
Dr. Salt|0
Mountain Melter|0
Heavy|0
U-Chews|0
Little League Chew|0
Chiclets|0
Triplemint|0
Potato Crisps|0
Stackers|1
Grain Waves|0
Cloud Popcorn|0
Moonpie|0
Cowtales|0
Wonka Bar|0
Crunchie|0
Cola|0
Dr. Salt|0
Mountain Melter|0
Heavy|0
U-Chews|0
Little League Chew|0
Chiclets|0
Triplemint|0
Potato Crisps|1
Stackers|0
Grain Waves|0
Cloud Popcorn|0
Moonpie|0
Cowtales|0
Wonka Bar|0
Crunchie|0
Cola|0
Dr. Salt|0
Mountain Melter|0
Heavy|0
U-Chews|0
Little League Chew|0
Chiclets|0
Triplemint|0
Potato Crisps|0
Stackers|0
Grain Waves|0
Cloud Popcorn|0
Moonpie|0
Cowtales|0
Wonka Bar|0
Crunchie|0
Cola|0
Dr. Salt|0
Mountain Melter|0
Heavy|2
U-Chews|0
Little League Chew|0
Chiclets|0
Triplemint|0
Potato Crisps|1
Stackers|0
Grain Waves|0
Cloud Popcorn|0
Moonpie|0
Cowtales|0
Wonka Bar|0
Crunchie|0
Cola|0
Dr. Salt|0
Mountain Melter|0
Heavy|0
U-Chews|0
Little League Chew|0
Chiclets|0
Triplemint|0
Potato Crisps|1
Stackers|0
Grain Waves|0
Cloud Popcorn|0
Moonpie|0
Cowtales|0
Wonka Bar|0
Crunchie|0
Cola|0
Dr. Salt|0
Mountain Melter|0
Heavy|0
U-Chews|0
Little League Chew|0
Chiclets|0
Triplemint|0
Potato Crisps|1
Stackers|0
Grain Waves|0
Cloud Popcorn|0
Moonpie|0
Cowtales|0
Wonka Bar|0
Crunchie|0
Cola|0
Dr. Salt|0
Mountain Melter|0
Heavy|0
U-Chews|0
Little League Chew|0
Chiclets|0
Triplemint|0
